calibration_record_id,corpus_id,decision,reason_code,organism_evidence,stressor_evidence,response_evidence,transferability_basis,citation_chain_basis,screening_source,confidence,needs_full_text,rationale,access,access_type,access_url,attempts,request_sha256,response_sha256
PEV-027,CWC-A892DB47932A,CORE_INCLUDE,,"Three species of glass sponges: Rhabdocalyptus dawsoni, Heterochone calyx, and Farrea occa, studied in situ at 170 m depth in the Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area (cold-water/deep-sea).","Suspended sediment concentrations (SSCs), including natural and experimentally induced increases, with a sediment transport model showing plume effects up to 2.39 km.","Observed responses: reduced excurrent flow rate and arrests in pumping; species-specific thresholds (2.8–6.4 mg l−1 for R. dawsoni, 5–10 mg l−1 for H. calyx); no arrests in F. occa even at 57 mg l−1; prolonged periods of reduced flow after small prolonged SSC increases.",,,TITLE_ABSTRACT,HIGH,False,"The record directly meets all core criteria: deep-sea/cold-water glass sponges, explicit suspended-sediment exposure (including experimental manipulation and modeling), and observed biological pumping responses with species-specific thresholds. The study reports quantitative organism-level responses (arrests, reduced flow) and is substantive. CORE_INCLUDE is preferred over CITATION_CHAIN_CANDIDATE because the response evidence is present, not merely a potential lead. No transferability is needed because the organism is cold-water. Confidence high due to clear, specific reporting in title and abstract.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.int-res.com/articles/meps_oa/m615p079.pdf,1,bbf31e89bd82de4b5b35508c2e44d10816fed97ad2ce46b30bfc85ea66bfad9d,d7dee214442e57cf0863af955a60f3d75c75c2a1df7725c76e95fcbb89817a71
PEV-028,CWC-D47B9A6D53DA,CORE_INCLUDE,,Hexactinellid glass sponges Rhabdocalyptus dawsoni and Aphrocallistes vastus; deep-sea/cold-water habitat.,"Sediment stimuli, including fine sediment (<25 μm), and prolonged sediment exposure (over 4 h) causing arrest and clogging.","Arrest of pumping/feeding current, threshold differences between species, repeated arrests, gradual reduction in pumping, recovery up to 25 h, and clogged chambers.",,,TITLE_ABSTRACT,HIGH,False,"The abstract explicitly reports an experimental study on deep-sea glass sponges exposed to sediment. Measured responses include sediment-induced arrest of pumping, species-specific thresholds, and prolonged exposure effects with recovery. This directly matches the CORE_INCLUDE criteria: cold-water/deep-sea sponge, explicit sediment stressor, and organism-level biological response with threshold/recovery findings.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.ovid.com/journals/mabi/fulltext/10.1007/s00227-008-0987-y~glass-sponges-arrest-pumping-in-response-to-sediment,1,dd2bce538d171d7d81db0a113b7e1ebbdd3f7c85fd5c81208bd460608329adcc,b2b2de3f9866b10ace0ecdbee7a59bca0d9948228cfbda4ae310c024d4590b2e
PEV-029,CWC-EDD1DC139DFA,TRANSFERABLE_MECHANISM,T01_CLOSE_TRAIT_ANALOGUE,Massive Porites spp. corals from nearshore reefs in Fiji (tropical reef-building corals).,Coastal seawater turbidity (sediment-related) and thermal stress.,Negative linear relationship between linear extension (growth) and turbidity; 14-30% decrease in linear extension in response to acute thermal stress.,"Quantitative organism-level growth response to a sediment-related turbidity gradient, directly analogous to potential turbidity/growth effects in deep-sea and cold-water corals.",,TITLE_ABSTRACT,HIGH,False,"The study is a warm-water tropical coral study, not deep-sea or cold-water, so it is not CORE_INCLUDE. However, it directly measures a quantitative organism-level growth response (linear extension) in corals as a function of seawater turbidity, which is a sediment-related stressor. This is a close functional analogue to growth responses expected in deep-sea or cold-water corals under sediment stress, satisfying the TRANSFERABLE_MECHANISM criteria. The abstract clearly provides organism, stressor, and response evidence, making the decision straightforward and not uncertain. It is not merely a general reef damage or broad water-quality effect; it is a specific growth dose-response.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.nature.com/articles/s41598-025-02283-6.pdf,1,3c3dd3d217bf4cd89e742fdda6a816a27fe6cb2e7047905c0ab395f5366b459e,52e1c1af7eb98613544826860a6d08a31482740277766c276213e7a60f718b9f
PEV-030,CWC-9BFC61A48726,CITATION_CHAIN_CANDIDATE,C02_REVIEW_OR_MONITORING_LEAD,"Cold-water coral; specifically Lophelia pertusa, a key reef species on the Norwegian margin.",Drill cutting discharge from offshore drilling operations; waste materials produced during drilling.,None reported in the abstract; mentions recent in situ and experimental research with Lophelia pertusa but does not describe specific biological outcomes.,,"Substantive viewpoint paper on monitoring strategies for drill cutting discharge near cold-water coral reefs; direct focus on sediment/drilling impacts; likely cites experimental and in situ studies documenting coral responses, useful for backward/forward citation mining.",TITLE_ABSTRACT,HIGH,True,"The record is a substantive deep-sea cold-water coral source focused on drill cutting discharge and monitoring. It does not report an eligible biological response; it discusses strategies and highlights research questions. Thus it is not CORE_INCLUDE. As a monitoring-focused paper with direct sediment/drilling relevance, its reference list is likely to contain in-scope response studies, making it a CITATION_CHAIN_CANDIDATE. The closest alternative, CORE_INCLUDE, is inappropriate because no response is described. EXCLUDE is inappropriate because the source is directly relevant. Confidence is HIGH because the abstract clearly indicates a deep/cold sediment-focused monitoring viewpoint without an observed response.",NO,NOT_CONFIRMED,,1,15e007fd6c142ab8e70153e095b1676e7c20d5015ea733f759214bf180b59f88,f4d82dca7ba56a85da52a78f8c239de95b23521717e33cb8279ae4d383b9bdfb
PEV-031,CWC-EDB1480675F9,CORE_INCLUDE,,"Cold-water coral Lophelia pertusa (Desmophyllum pertusum), including larvae of two ages.","Suspended bentonite, barite, and drill cuttings from fossil fuel drilling operations.","Larval behavioral effects (EC50), lethal effects (LC50), age-related sensitivity differences, and post-exposure recovery.",,,TITLE_ABSTRACT,HIGH,False,"The abstract explicitly reports a cold-water coral species, a sediment-related drilling-waste exposure pathway, and measured organism-level responses including behavioral effects, mortality, and recovery. This meets all CORE_INCLUDE criteria. The closest alternative would be CITATION_CHAIN_CANDIDATE, but the source itself contains eligible response evidence, so it is directly core.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.sciencedirect.com/science/article/pii/S0141113619307913/pdf,1,34c206a900e64b1d9fe0662dafcd6e35a74ea83027b7c88fd7e62b1848607d52,3038cb2643f46fb52cc91e3ed62d47b2ad480c9e14ad77f13eccb83f5bdb9929
PEV-032,CWC-1EDA9D88322A,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,"Scopalina lophyropoda, a sublittoral demosponge; abstract does not indicate deep-sea or cold-water habitat.","Experimental sediment/silt deposition exposure in field, including silt-protected and silt-exposed positions.",Measured survival/longevity of asexually produced sponge recruits; silt-exposed recruits had reduced longevity.,,,TITLE_ABSTRACT,HIGH,False,"The record directly reports a sediment exposure experiment on sponge recruit survival, but the organism is a sublittoral demosponge, not a deep-sea or cold-water coral/sponge. The TRANSFERABLE_MECHANISM category is reserved for warm-water or tropical studies with close functional analogues, and this is not explicitly warm-water/tropical. It is also not a deep-sea/cold-water source with sediment focus, so no citation-chain lead is justified. Therefore excluded under organism out of scope.",NO,NOT_CONFIRMED,,1,1113ec381f721c7784ff43eaa14083f717a99162120bf835364d0b664b334da4,3901a0530878348f5b8f40c06a7b3029c5c7f4691d71658e85bb9fea4ad87403
PEV-033,CWC-29A471B9BFF1,UNCERTAIN,U01_MISSING_ABSTRACT,Scleractinian coral; depth or thermal regime not specified in supplied text.,Exposure to terrestrial and marine sediments; title states 'sedimentation stress'.,Title mentions 'sedimentation stress' but does not specify a measured biological response without the abstract.,,,TITLE_ONLY,LOW,True,"The title describes a scleractinian coral exposed to terrestrial and marine sediments, which is potentially relevant to sediment-related coral stress. However, the absence of an abstract and lack of explicit indication whether the coral is deep-sea/cold-water or warm-water/tropical prevent confident assignment to CORE_INCLUDE or TRANSFERABLE_MECHANISM. The title alone does not confirm an eligible measured biological response. Therefore, the record is UNCERTAIN and full text or abstract is needed.",NO,NOT_CONFIRMED,,1,1be058fd72b1aeab09b8945bf7a04ffe0c5329befce3ea06586eb4246df1cc1d,2386b4dbf22626d70186583bf3954205f0328f53f8a37712dec2b59f0c24fb5e
PEV-034,CWC-D962354BD236,CORE_INCLUDE,,"Arctic-boreal sponges (cold-water, non-tropical)","Particulate sediment, bentonite, barite (oil-drilling waste)",Net fluxes of oxygen and nitrogen (physiological responses),,,TITLE_ONLY,MEDIUM,False,"The title explicitly identifies cold-water Arctic-boreal sponges, a sediment-related drilling-waste exposure (particulate sediment, bentonite, barite), and measured physiological responses (net oxygen and nitrogen fluxes). This directly supports a core include under the sediment-trait/biological effects scope. Even though the abstract was not available, the title is sufficiently specific and unambiguous. The alternative categories (citation-chain candidate, transferable mechanism, exclude) are not applicable because the record clearly reports an organism-level response to sediment-related stress in a cold-water sponge.",NO,NOT_CONFIRMED,,1,426bd4e14d4ee1ee98f9fb3961f6c69513d3ebe44a7443042fbc8c1603bbcffc,ac23451eac6e47cbc24af20fb6f7d943572c3c5f747f3bbc310eaf62db9f809f
PEV-035,CWC-65CF36C85E16,CORE_INCLUDE,,Cold-water coral Lophelia pertusa larvae,Drill cuttings (water-based) at concentrations 0.5-640 ppm; increased sediment load for 24 h,Significant larval mortality; age-dependent sensitivity; cilia clogging preventing active swimming and ultimately causing mortality,,,TITLE_ABSTRACT,HIGH,False,"The abstract describes an experimental study on a cold-water coral (Lophelia pertusa), explicitly exposing larvae to drill cuttings (a sediment-related stressor) and quantifying biological responses: mortality, age-dependent sensitivity, and cilia clogging impairing swimming. This directly satisfies all core criteria: deep-sea/cold-water organism, explicit sediment/drill-cuttings pathway, measured biological responses, and a substantive source. No reason code is required for CORE_INCLUDE. The closest alternate would be uncategorized if the abstract were vague, but it is specific and sufficient.",NO,NOT_CONFIRMED,,1,764941c78b7da5cb1e5ec267e6a25fca82383ca48115a3752715819a8eb0e7f7,6a9071bdc628d7269ea098f0df79727e205a66a9a7af0b5d5a9a0e331352b757
PEV-036,CWC-8348819C8DEA,UNCERTAIN,U01_MISSING_ABSTRACT,"Title identifies deep-water bamboo coral forests, a cold-water octocoral group.","Title mentions a muddy Arctic environment, which indicates a sediment-related habitat, but not an explicit stressor or exposure pathway.",No biological response or trait is described in the title.,,,TITLE_ONLY,LOW,True,"The title provides only habitat context (muddy environment) and organism presence, with no abstract or full text available. It does not establish a sediment-related exposure and biological response, and it is unclear whether the source is a substantive citation-chain lead. Because confidence is LOW, the decision must be UNCERTAIN. Reasons for ambiguity include missing abstract/details and insufficient basis to classify as core, transferable, or citation-chain candidate.",NO,NOT_CONFIRMED,,1,6c25b6a840e7dd999342251a43c30126c2d9ad6e937219c2ff7028a56af88cad,295ae49d37485a863afbd02945fedb46823c69f88608ca64fe5a32c33262cab5
